Name,Genre,Platform,Free,Finished,Star
Darkwood,Survival Horror,PC,0,0,0
Dead Space 2,Survival Horror,PC,0,0,0
Resident Evil 2,Survival Horror,PC,0,0,0
SOMA,Survival Horror,PC,0,0,0
The Evil Within 2,Survival Horror,PC,0,0,0
Choice of Robots,Text-Based,PC,0,0,0
Just Cause 3,Third-Person Shooter,PC,0,0,0
Max Payne 3,Third-Person Shooter,PC,0,1,0
Tom Clancy's The Division 2,Third-Person Shooter,PC,0,0,0
Mutant Year Zero: Road to Eden,Turn-based tactics,PC,0,0,0
SteamWorld Heist,Turn-based tactics,PC,0,0,0
