Names,Reviews,Release Date,Genre
Sherlock Holmes: The Devil's Daughter,74%,"Jun 10, 2016",Detective
Crazy Machines 3,96%,"Oct 18, 2016",Simulation
The Silent Age,93%,"May 29, 2015",Adventure
Stephen's Sausage Roll,96%,"Apr 18, 2016",Puzzle
Train Valley,88%,"Sep 16, 2015",Trains
Styx: Shards of Darkness,81%,"Mar 14, 2017",Stealth
Middle-earth™: Shadow of War™,81%,"Oct 9, 2017",Open World
Snakebird,95%,"May 4, 2015",Puzzle
Elite Dangerous,71%,"Apr 2, 2015",Space Sim
Mafia III,50%,"Oct 6, 2016",Crime
Turmoil,89%,"Jun 2, 2016",Simulation
,,,
Hollow Knight,96%,"Feb 24, 2017",Souls-like
Hook,97%,"Jan 25, 2015",Puzzle
,,,
Agatha Christie - The ABC Murders,76%,"Feb 4, 2016",Adventure
Human Resource Machine,94%,"Oct 15, 2015",Programming
,,,
,,,
80 Days,93%,"Sep 28, 2015",Adventure
Induction,97%,"Feb 7, 2017",Indie
Mindshow,94%,"Aug 30, 2017",Early Access
Hue,94%,"Aug 30, 2016",Indie
ABZU,92%,"Aug 2, 2016",Relaxing
Fingered,75%,"Aug 18, 2015",Indie
Steambirds Alliance,76%,"Aug 22, 2019",Free to Play
Ultimate Chicken Horse,,,
Scrap Mechanic,87%,"Jan 19, 2016",Early Access
Day of the Tentacle Remastered,97%,"Mar 21, 2016",Point & Click
Oxenfree,93%,"Jan 14, 2016",Story Rich
,,,
Endless Space® 2,83%,"May 18, 2017",Strategy
TSIOQUE,97%,"Nov 7, 2018",Adventure
Ice Lakes,84%,"Apr 19, 2016",Fishing
DISTRAINT: Deluxe Edition,93%,"Oct 21, 2015",Indie
Ittle Dew 2+,86%,"Nov 15, 2016",Adventure
Epistory - Typing Chronicles,95%,"Mar 30, 2016",Typing
Call of Cthulhu®,73%,"Oct 29, 2018",Lovecraftian
Wuppo: Definitive Edition,95%,"Sep 29, 2016",Adventure
,,,
Refunct,95%,"Oct 16, 2015",Relaxing
,,,
Hellblade: Senua's Sacrifice,91%,"Aug 8, 2017",Atmospheric
Outlast 2,88%,"Apr 25, 2017",Horror
Shadow Tactics: Blades of the Shogun,95%,"Dec 6, 2016",Stealth
,,,
Samorost 3,94%,"Mar 24, 2016",Adventure
Furi,91%,"Jul 5, 2016",Great Soundtrack
Project Highrise,83%,"Sep 8, 2016",Management
The Room Two,97%,"Jul 5, 2016",Puzzle
Vampyr,72%,"Jun 4, 2018",Vampire
Factorio,98%,"Feb 25, 2016",Early Access
Youtubers Life,72%,"May 18, 2016",Simulation
Slime Rancher,96%,"Aug 1, 2017",Cute
Divinity: Original Sin 2 - Definitive Edition,95%,"Sep 14, 2017",RPG
Hidden Folks,97%,"Feb 15, 2017",Hidden Object
The Final Station,84%,"Aug 30, 2016",Pixel Graphics
Tricky Towers,90%,"Aug 2, 2016",Multiplayer
The SoulKeeper VR,63%,"Aug 15, 2017",Early Access
This Is the Police,83%,"Aug 2, 2016",Strategy
Wizard of Legend,91%,"May 15, 2018",Action Roguelike
